values	distance	colorz	side2
306.923167621169	10000	gray44	chr8-chr8
380.397108180964	10000	gray44	chr8-chr8
459.542496435722	10000	gray44	chr8-chr8
354.443940119935	10000	gray44	chr8-chr8
354.303497031189	10000	gray44	chr8-chr8
210.124653153096	10000	gray44	chr8-chr8
307.995124710317	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
351.507351085472	10000	gray44	chr8-chr8
379.223226765664	10000	gray44	chr8-chr8
373.716945745952	10000	gray44	chr8-chr8
219.888811964606	10000	gray44	chr8-chr8
438.233882085705	10000	gray44	chr8-chr8
427.03399938739	10000	gray44	chr8-chr8
470.664183974957	10000	gray44	chr8-chr8
438.088271085366	10000	gray44	chr8-chr8
301.533793619993	10000	gray44	chr8-chr8
308.094182400237	10000	gray44	chr8-chr8
361.578907526551	10000	gray44	chr8-chr8
424.321658598028	10000	gray44	chr8-chr8
236.303104798832	10000	gray44	chr8-chr8
508.287895265195	10000	gray44	chr8-chr8
334.374549983653	10000	gray44	chr8-chr8
389.921554493725	10000	gray44	chr8-chr8
491.043903080544	10000	gray44	chr8-chr8
465.312517387491	10000	gray44	chr8-chr8
327.053041017484	10000	gray44	chr8-chr8
420.351194534633	10000	gray44	chr8-chr8
23.7221297027005	10000	gray44	chr8-chr8
191.140811068257	10000	gray44	chr8-chr8
349.819479933439	10000	gray44	chr8-chr8
404.153237771942	10000	gray44	chr8-chr8
124.692578502386	10000	gray44	chr8-chr8
224.853599035848	10000	gray44	chr8-chr8
278.102973053612	10000	gray44	chr8-chr8
406.631232585168	10000	gray44	chr8-chr8
351.162398865606	10000	gray44	chr8-chr8
439.557434536178	10000	gray44	chr8-chr8
187.502129541977	10000	gray44	chr8-chr8
245.186935948673	10000	gray44	chr8-chr8
258.466709999427	10000	gray44	chr8-chr8
333.179203041729	10000	gray44	chr8-chr8
332.012883881536	10000	gray44	chr8-chr8
320.68690525722	10000	gray44	chr8-chr8
259.311162555709	10000	gray44	chr8-chr8
387.084506458479	10000	gray44	chr8-chr8
363.224530426997	10000	gray44	chr8-chr8
333.359414752773	10000	gray44	chr8-chr8
284.537935414146	10000	gray44	chr8-chr8
698.801344025363	10000	gray44	chr8-chr8
401.773746496367	10000	gray44	chr8-chr8
402.914055403999	10000	gray44	chr8-chr8
324.714227248589	10000	gray44	chr8-chr8
277.264910349881	10000	gray44	chr8-chr8
454.060073177719	10000	gray44	chr8-chr8
473.712111561728	10000	gray44	chr8-chr8
220.328246577317	10000	gray44	chr8-chr8
452.053603090796	10000	gray44	chr8-chr8
402.687140767311	10000	gray44	chr8-chr8
432.898588560914	10000	gray44	chr8-chr8
319.543956839948	10000	gray44	chr8-chr8
330.000448463904	10000	gray44	chr8-chr8
543.469781486672	10000	gray44	chr8-chr8
313.720273892681	10000	gray44	chr8-chr8
582.013847762371	10000	gray44	chr8-chr8
439.487509918746	10000	gray44	chr8-chr8
394.257822873433	10000	gray44	chr8-chr8
478.863110936863	10000	gray44	chr8-chr8
332.250170722287	10000	gray44	chr8-chr8
545.140690315535	10000	gray44	chr8-chr8
291.602987107944	10000	gray44	chr8-chr8
515.740390851124	10000	gray44	chr8-chr8
421.46746734279	10000	gray44	chr8-chr8
35.5564114550458	10000	gray44	chr8-chr8
390.719216489833	10000	gray44	chr8-chr8
313.866500144913	10000	gray44	chr8-chr8
362.627538615531	10000	gray44	chr8-chr8
191.416036992885	10000	gray44	chr8-chr8
375.558604147216	10000	gray44	chr8-chr8
475.107353225417	10000	gray44	chr8-chr8
398.726021440696	10000	gray44	chr8-chr8
420.841185680359	10000	gray44	chr8-chr8
295.343985137451	10000	gray44	chr8-chr8
126.326199091468	10000	gray44	chr8-chr8
351.80292050905	10000	gray44	chr8-chr8
364.362114049016	10000	gray44	chr8-chr8
194.203519700846	10000	gray44	chr8-chr8
435.140399069214	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
298.681748590485	10000	gray44	chr8-chr8
174.420993054196	10000	gray44	chr8-chr8
232.412643111983	10000	gray44	chr8-chr8
393.843067056301	10000	gray44	chr8-chr8
347.678327106109	10000	gray44	chr8-chr8
556.324266040384	10000	gray44	chr8-chr8
313.464055665551	10000	gray44	chr8-chr8
392.001564013831	10000	gray44	chr8-chr8
435.726007561177	10000	gray44	chr8-chr8
275.10312139578	10000	gray44	chr8-chr8
391.483058513985	10000	gray44	chr8-chr8
332.339106776195	10000	gray44	chr8-chr8
513.639149524359	10000	gray44	chr8-chr8
441.587768852321	10000	gray44	chr8-chr8
606.428877266374	10000	gray44	chr8-chr8
345.48012912416	10000	gray44	chr8-chr8
476.406096204842	10000	gray44	chr8-chr8
475.956799370471	10000	gray44	chr8-chr8
320.272517155627	10000	gray44	chr8-chr8
262.350209039631	10000	gray44	chr8-chr8
404.550421174155	10000	gray44	chr8-chr8
501.635186018786	10000	gray44	chr8-chr8
363.920269861919	10000	gray44	chr8-chr8
365.519631928361	10000	gray44	chr8-chr8
358.440897988528	10000	gray44	chr8-chr8
359.544439094184	10000	gray44	chr8-chr8
427.56048104708	10000	gray44	chr8-chr8
406.227350022302	10000	gray44	chr8-chr8
359.326972610156	10000	gray44	chr8-chr8
319.398275303427	10000	gray44	chr8-chr8
256.530185228217	10000	gray44	chr8-chr8
321.614723347009	10000	gray44	chr8-chr8
340.302399969828	10000	gray44	chr8-chr8
243.298071441858	10000	gray44	chr8-chr8
324.649990099847	10000	gray44	chr8-chr8
259.34042854399	10000	gray44	chr8-chr8
384.379008283749	10000	gray44	chr8-chr8
379.282724366685	10000	gray44	chr8-chr8
263.305227447797	10000	gray44	chr8-chr8
362.782709814393	10000	gray44	chr8-chr8
317.424070173681	10000	gray44	chr8-chr8
407.994669634412	10000	gray44	chr8-chr8
448.726766740231	10000	gray44	chr8-chr8
378.800457638091	10000	gray44	chr8-chr8
441.19093219007	10000	gray44	chr8-chr8
318.746285117875	10000	gray44	chr8-chr8
340.80047337874	10000	gray44	chr8-chr8
306.31636700793	10000	gray44	chr8-chr8
347.274821477824	10000	gray44	chr8-chr8
282.516820791309	10000	gray44	chr8-chr8
339.568234782948	10000	gray44	chr8-chr8
432.166876932922	10000	gray44	chr8-chr8
327.026514296822	10000	gray44	chr8-chr8
459.910420524245	10000	gray44	chr8-chr8
218.149175716277	10000	gray44	chr8-chr8
395.418134324682	10000	gray44	chr8-chr8
484.163989728853	10000	gray44	chr8-chr8
501.53494316371	10000	gray44	chr8-chr8
247.01645162573	10000	gray44	chr8-chr8
537.364898368614	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
456.475059656395	10000	gray44	chr8-chr8
438.593704946706	10000	gray44	chr8-chr8
553.384953078169	10000	gray44	chr8-chr8
424.400568974978	10000	gray44	chr8-chr8
274.473027506811	10000	gray44	chr8-chr8
289.944032961914	10000	gray44	chr8-chr8
357.312928695712	10000	gray44	chr8-chr8
337.890361841297	10000	gray44	chr8-chr8
293.752085743708	10000	gray44	chr8-chr8
253.345496036769	10000	gray44	chr8-chr8
243.769111872562	10000	gray44	chr8-chr8
419.176369308335	10000	gray44	chr8-chr8
547.688430574736	10000	gray44	chr8-chr8
258.89640176557	10000	gray44	chr8-chr8
501.040147400544	10000	gray44	chr8-chr8
532.922707110268	10000	gray44	chr8-chr8
369.593772526324	10000	gray44	chr8-chr8
406.548047374645	10000	gray44	chr8-chr8
363.473719144673	10000	gray44	chr8-chr8
422.898110483463	10000	gray44	chr8-chr8
454.43774817048	10000	gray44	chr8-chr8
133.878128322139	10000	gray44	chr8-chr8
364.442180574104	10000	gray44	chr8-chr8
49.467419487256	10000	gray44	chr8-chr8
120.129885852135	10000	gray44	chr8-chr8
321.447695194318	10000	gray44	chr8-chr8
450.082821129297	10000	gray44	chr8-chr8
88.2846422775271	10000	gray44	chr8-chr8
304.029025170483	10000	gray44	chr8-chr8
339.793936807309	10000	gray44	chr8-chr8
423.340589714819	10000	gray44	chr8-chr8
516.675073700527	10000	gray44	chr8-chr8
286.872563183518	10000	gray44	chr8-chr8
369.157839198826	10000	gray44	chr8-chr8
284.790032072273	10000	gray44	chr8-chr8
359.150348520184	10000	gray44	chr8-chr8
384.301123811424	10000	gray44	chr8-chr8
338.741895285378	10000	gray44	chr8-chr8
421.593747569186	10000	gray44	chr8-chr8
446.38669469315	10000	gray44	chr8-chr8
312.511898471361	10000	gray44	chr8-chr8
358.05055391475	10000	gray44	chr8-chr8
469.215996578708	10000	gray44	chr8-chr8
474.797750035173	10000	gray44	chr8-chr8
429.758757030238	10000	gray44	chr8-chr8
331.13420652309	10000	gray44	chr8-chr8
342.813180265594	10000	gray44	chr8-chr8
262.492111714478	10000	gray44	chr8-chr8
283.513580297899	10000	gray44	chr8-chr8
177.586770597729	10000	gray44	chr8-chr8
229.103402253065	10000	gray44	chr8-chr8
458.981921130804	10000	gray44	chr8-chr8
380.757225367285	10000	gray44	chr8-chr8
477.830205078809	10000	gray44	chr8-chr8
318.030117588901	10000	gray44	chr8-chr8
416.065211032354	10000	gray44	chr8-chr8
393.670706099209	10000	gray44	chr8-chr8
524.428061460008	10000	gray44	chr8-chr8
582.501673930086	10000	gray44	chr8-chr8
641.405182348451	10000	gray44	chr8-chr8
520.49161672783	10000	gray44	chr8-chr8
226.052856365646	10000	gray44	chr8-chr8
365.659396446834	10000	gray44	chr8-chr8
337.619743435843	10000	gray44	chr8-chr8
165.345224340705	10000	gray44	chr8-chr8
440.616439522034	10000	gray44	chr8-chr8
440.266104821408	10000	gray44	chr8-chr8
345.995954443447	10000	gray44	chr8-chr8
488.739959875797	10000	gray44	chr8-chr8
315.350490859506	10000	gray44	chr8-chr8
704.187992404155	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
386.962804720531	10000	gray44	chr8-chr8
377.489403013562	10000	gray44	chr8-chr8
356.468494728029	10000	gray44	chr8-chr8
436.343236112577	10000	gray44	chr8-chr8
573.807356326551	10000	gray44	chr8-chr8
511.77441655	10000	gray44	chr8-chr8
368.818838981215	10000	gray44	chr8-chr8
441.630836224448	10000	gray44	chr8-chr8
467.142235200761	10000	gray44	chr8-chr8
289.095949135039	10000	gray44	chr8-chr8
283.931477929049	10000	gray44	chr8-chr8
592.200191248161	10000	gray44	chr8-chr8
285.196287631343	10000	gray44	chr8-chr8
351.423421024941	10000	gray44	chr8-chr8
127.130531421877	10000	gray44	chr8-chr8
314.854530425651	10000	gray44	chr8-chr8
324.522422935902	10000	gray44	chr8-chr8
301.892816714192	10000	gray44	chr8-chr8
232.666187039846	10000	gray44	chr8-chr8
538.81863217149	10000	gray44	chr8-chr8
338.308658284749	10000	gray44	chr8-chr8
396.577442821746	10000	gray44	chr8-chr8
438.531535395073	10000	gray44	chr8-chr8
329.815716398026	10000	gray44	chr8-chr8
360.114218127934	10000	gray44	chr8-chr8
393.698834437852	10000	gray44	chr8-chr8
411.181107123202	10000	gray44	chr8-chr8
464.061460940496	10000	gray44	chr8-chr8
395.045727092393	10000	gray44	chr8-chr8
437.500446574934	10000	gray44	chr8-chr8
326.469856727092	10000	gray44	chr8-chr8
403.71468491502	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
209.411524423983	10000	gray44	chr8-chr8
343.973134390061	10000	gray44	chr8-chr8
433.076582519039	10000	gray44	chr8-chr8
230.417585171415	10000	gray44	chr8-chr8
344.622018778866	10000	gray44	chr8-chr8
252.513552694114	10000	gray44	chr8-chr8
314.259109762589	10000	gray44	chr8-chr8
444.603171894432	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
429.624756467609	10000	gray44	chr8-chr8
272.725732587747	10000	gray44	chr8-chr8
437.857441037615	10000	gray44	chr8-chr8
470.914650728076	10000	gray44	chr8-chr8
541.021352908602	10000	gray44	chr8-chr8
259.807325937397	10000	gray44	chr8-chr8
379.405241935249	10000	gray44	chr8-chr8
209.504938992453	10000	gray44	chr8-chr8
266.540204426981	10000	gray44	chr8-chr8
309.183427796933	10000	gray44	chr8-chr8
406.956815067085	10000	gray44	chr8-chr8
401.779462801571	10000	gray44	chr8-chr8
324.185683898492	10000	gray44	chr8-chr8
62.3355330624906	10000	gray44	chr8-chr8
293.054606140221	10000	gray44	chr8-chr8
317.868665682136	10000	gray44	chr8-chr8
372.825698792864	10000	gray44	chr8-chr8
444.336412440263	10000	gray44	chr8-chr8
564.390490913339	10000	gray44	chr8-chr8
320.395575524973	10000	gray44	chr8-chr8
131.553436822306	10000	gray44	chr8-chr8
525.140743562057	10000	gray44	chr8-chr8
336.388984531012	10000	gray44	chr8-chr8
388.472938996595	10000	gray44	chr8-chr8
330.724827839694	10000	gray44	chr8-chr8
363.774726789901	10000	gray44	chr8-chr8
572.43969821139	10000	gray44	chr8-chr8
133.259485208105	10000	gray44	chr8-chr8
435.971450489018	10000	gray44	chr8-chr8
423.217542374389	10000	gray44	chr8-chr8
312.814974322244	10000	gray44	chr8-chr8
271.179206921488	10000	gray44	chr8-chr8
374.110693128612	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
266.009562521776	10000	gray44	chr8-chr8
562.891487137533	10000	gray44	chr8-chr8
408.009728241914	10000	gray44	chr8-chr8
215.46184447998	10000	gray44	chr8-chr8
331.503129397774	10000	gray44	chr8-chr8
340.01346323995	10000	gray44	chr8-chr8
603.843821113446	10000	gray44	chr8-chr8
385.811857670735	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
412.93882049942	10000	gray44	chr8-chr8
404.202354492127	10000	gray44	chr8-chr8
597.543354992987	10000	gray44	chr8-chr8
125.756885405166	10000	gray44	chr8-chr8
307.751224736852	10000	gray44	chr8-chr8
451.4999349785	10000	gray44	chr8-chr8
305.767288778836	10000	gray44	chr8-chr8
524.198178706331	10000	gray44	chr8-chr8
400.560005178505	10000	gray44	chr8-chr8
468.771543925759	10000	gray44	chr8-chr8
302.302984305657	10000	gray44	chr8-chr8
251.206534223619	10000	gray44	chr8-chr8
449.76289634809	10000	gray44	chr8-chr8
0	10000	gray44	chr8-chr8
263.528918458459	10000	gray44	chr8-chr8
378.780676797842	10000	gray44	chr8-chr8
259.33177476012	10000	gray44	chr8-chr8
346.495156378033	10000	gray44	chr8-chr8
352.426229498803	10000	gray44	chr8-chr8
424.588911985386	10000	gray44	chr8-chr8
34.6080380935029	10000	gray44	chr8-chr8
362.929480949876	10000	gray44	chr8-chr8
352.962901978913	10000	gray44	chr8-chr8
426.356221877806	10000	gray44	chr8-chr8
276.659693814412	10000	gray44	chr8-chr8
458.797965327787	10000	gray44	chr8-chr8
410.152115720687	10000	gray44	chr8-chr8
441.26120253737	10000	gray44	chr8-chr8
301.740988854275	10000	gray44	chr8-chr8
404.51434555067	10000	gray44	chr8-chr8
579.132635732093	10000	gray44	chr8-chr8
